,AA,AB,AU,BI,CC,CCIT,CD,CDC,CH,CHCP,CSB,CR,DC,ED,EEEL,ENG,ES,GL,HDL,HMRB,HRIC/TWR,HSC,ICT,IH,KA,KNA,KNB,LS,MEB,MFH,MH,MLB,MLT,MS,MSC,OL,OO,PF,PP,RC,RT,RU,SA,SB,SH,SS,ST,TFDL,TI,URC,WRC,YA,UC,Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/11/16,"5,463.89","4,708.34","1,983.33","18,283.35",277.78,"8,097.23","2,530.56","2,580.56","5,530.56",0.00,0.00,"3,297.22","4,725.00","10,558.34","11,363.90","17,833.35","12,363.90","1,352.78",0.00,"20,613.91","38,677.81","45,908.37","7,550.01","2,633.34","1,400.00","7,236.12","13,002.79",0.00,"2,919.45","8,755.56","9,905.56","5,744.45","7,358.34","14,900.01","10,463.90","1,097.22","4,913.89","10,572.23","2,066.67",963.89,811.11,"1,552.78","8,186.12","10,647.23","4,316.67","5,781.60","3,347.22","14,205.57","1,205.56",0.00,0.00,"5,633.34","383,320.79"," 	275,201.26 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/12/16,"5,413.89","4,558.34","1,919.45","18,291.68",297.22,"7,925.01","2,494.45","2,558.34","5,427.78",0.00,0.00,"3,194.45","4,713.89","10,400.01","11,180.56","17,283.35","12,247.23","1,322.22",0.00,"20,127.79","38,491.70","45,841.70","7,530.56","2,661.11","1,291.67","6,891.67","13,211.12",0.00,"2,952.78","8,525.01","8,475.01","5,641.67","7,302.78","14,952.79","9,905.56","1,075.00","5,861.12","10,294.45","2,038.89",783.33,"1,038.89","1,472.22","8,219.45","10,402.79","3,675.00","5,468.64","3,208.34","14,702.79","1,313.89",0.00,0.00,"5,388.89","377,974.49"," 	270,560.52 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/13/16,"5,691.67","4,597.23","1,950.00","18,163.90",277.78,"7,972.23","2,572.22","2,686.11","5,550.00",0.00,0.00,"3,250.00","4,652.78","10,402.79","11,330.56","17,955.57","12,316.68","1,377.78",0.00,"21,105.57","38,186.14","45,791.70","6,969.45","2,697.22","1,433.33","7,180.56","13,891.68",0.00,"3,069.45","9,052.79","8,958.34","5,758.34","7,627.78","14,691.68","10,236.12","1,116.67","6,572.23","10,930.56","2,091.67",872.22,"1,127.78","1,563.89","7,877.78","10,080.56","3,733.34","5,543.86","2,972.22","14,083.34","1,111.11",0.00,0.00,"5,530.56","382,605.27"," 	274,452.41 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/14/16,"5,977.78","4,483.34","1,961.11","18,030.57",255.56,"7,816.67","2,594.45","2,319.45","5,947.23",0.00,0.00,"3,283.34","4,577.78","10,411.12","11,386.12","18,588.90","12,233.34","1,369.45",0.00,"20,636.13","38,136.14","44,808.37","7,211.12","2,702.78","1,408.33","6,736.12","13,855.57",0.00,"3,077.78","8,861.12","9,091.67","5,661.12","7,466.67","14,597.23","10,291.67","1,113.89","6,933.34","10,700.01","2,030.56",730.56,"1,216.67","1,566.67","7,991.67","10,161.12","3,736.11","5,424.08","3,086.11","14,241.68","1,205.56",0.00,0.00,"5,513.89","381,429.94"," 	274,771.52 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/16,"5,500.00","4,275.00","1,936.11","16,900.01",147.22,"7,391.67","2,552.78","1,763.89","5,083.34",0.00,0.00,"3,302.78","4,252.78","8,583.34","10,391.67","14,047.23","11,563.90","1,358.33",0.00,"19,286.13","35,444.47","40,641.70","6,669.45","2,616.67","1,338.89","6,780.56","12,880.57",0.00,"2,850.00","8,236.12","8,058.34","5,155.56","6,872.23","13,908.34","9,091.67","1,100.00","6,450.01","9,944.45","1,347.22",505.56,"1,013.89","1,541.67","7,730.56","9,769.45","2,897.22","4,729.28","2,522.22","13,802.79","1,125.00",0.00,0.00,"5,344.45","348,704.55"," 	250,482.25 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/16/16,"5,541.67","4,219.45","1,963.89","16,600.01",147.22,"7,505.56","2,433.34","1,594.45","4,330.56",0.00,0.00,"3,436.11","4,138.89","8,241.67","10,094.45","13,730.57","11,494.45","1,316.67",0.00,"18,966.68","35,622.25","41,000.03","6,633.34","2,616.67","1,344.45","6,238.89","12,252.79",0.00,"2,855.56","7,980.56","7,405.56","5,019.45","6,816.67","13,886.12","8,663.90","1,069.45","5,305.56","9,636.12","1,436.11",738.89,"1,072.22","1,538.89","7,677.78","9,977.79","3,086.11","5,150.22","2,452.78","13,208.34","1,097.22",0.00,0.00,"5,394.45","342,933.83"," 	244,489.30 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/16,"6,036.12","4,291.67","1,986.11","18,113.90",277.78,"8,038.90","2,447.22","2,388.89","5,138.89",0.00,0.00,"3,294.45","4,680.56","10,425.01","11,300.01","18,169.46","12,352.79","1,333.33",0.00,"20,300.02","39,113.92","45,052.81","7,755.56","2,711.11","1,366.67","7,200.01","13,491.68",0.00,"3,050.00","8,477.78","9,172.23","5,516.67","7,230.56","14,405.57","10,411.12","1,083.33","4,844.45","10,238.90","2,011.11",891.67,"1,163.89","1,544.45","8,013.90","10,791.68","4,244.45","5,377.33","3,175.00","14,016.68","1,388.89",0.00,0.00,"5,463.89","379,780.41"," 	272,263.66 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/16,"5,836.12","4,333.34","1,930.56","18,194.46",269.44,"8,061.12","2,405.56","2,511.11","5,427.78",0.00,0.00,"2,952.78","4,916.67","10,411.12","11,152.79","18,752.79","12,186.12","1,311.11",0.00,"20,447.24","39,627.81","45,747.26","7,597.23","2,694.45","1,369.45","7,338.89","13,833.34",0.00,"3,019.45","8,425.01","9,127.79","5,608.34","7,097.23","14,961.12","10,608.34","1,063.89","4,463.89","10,172.23","1,983.33",722.22,"1,063.89","1,513.89","7,919.45","10,591.68","4,488.89","5,451.01","3,022.22","14,333.34","1,186.11",0.00,0.00,"5,394.45","381,526.31"," 	272,684.56 ", 	0.71 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/16,"5,830.56","4,383.34","1,958.33","17,830.57",286.11,"7,975.01","2,513.89","2,541.67","5,816.67",0.00,0.00,"3,033.34","4,711.11","10,350.01","11,152.79","19,577.79","12,297.23","1,322.22",0.00,"20,191.68","39,355.59","45,611.15","7,405.56","2,713.89","1,355.56","7,269.45","13,672.23",0.00,"3,000.00","8,508.34","9,358.34","5,675.00","7,122.23","15,169.46","10,338.90","1,072.22","4,288.89","10,275.01","1,972.22",761.11,"1,069.45","1,527.78","7,950.01","10,755.56","4,386.11","5,426.83","3,138.89","14,800.01","1,116.67",0.00,0.00,"5,522.23","382,391.02"," 	274,232.60 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/20/16,"6,058.34","4,380.56","1,916.67","18,061.13",277.78,"8,508.34","2,475.00","2,508.34","5,908.34",0.00,0.00,"3,188.89","4,755.56","10,266.67","11,177.79","19,372.24","12,205.57","1,325.00",0.00,"20,527.79","39,816.70","45,513.93","7,516.67","2,669.45","1,433.33","7,555.56","13,677.79",0.00,"3,044.45","8,455.56","9,222.23","5,680.56","7,472.23","14,875.01","10,438.90","1,075.00","4,363.89","10,208.34","2,005.56","1,052.78","1,083.33","1,544.45","8,091.67","10,144.45","4,066.67","5,919.15","3,069.45","14,552.79","1,136.11",0.00,0.00,"5,383.34","383,983.34"," 	275,080.47 ", 	0.72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
